algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
3736979,956929,1197670,505388,1000000000,100000000,33219281,10000000
7215278,2579593,1231906,253755,3375000000,225000000,58603359,15000000
2419823,5928938,1675680,320871,8000000000,400000000,86438562,20000000
4303169,326015,2175252,386448,15625000000,625000000,116096405,25000000
8029100,426344,3625022,95821,27000000000,900000000,147206718,30000000
9350971,539537,3959893,100761,42875000000,1225000000,179524906,35000000
15217653,918281,4033527,107965,64000000000,1600000000,212877124,40000000
18880630,873839,1155700,113732,91125000000,2025000000,247133390,45000000
26230639,985838,1231755,116657,125000000000,2500000000,282192810,50000000
32172157,1158119,1369212,119609,166375000000,3025000000,317974785,55000000
39796477,1382840,1547449,128089,216000000000,3600000000,354413436,60000000
49794793,1565506,2021809,133684,274625000000,4225000000,391453908,65000000
56827600,1833434,1941054,136038,343000000000,4900000000,429049812,70000000
63012142,2034696,2121668,140967,421875000000,5625000000,467161402,75000000
74649698,2332106,2295752,145641,512000000000,6400000000,505754248,80000000
88209899,2555013,2268945,151341,614125000000,7225000000,544798230,85000000
107433163,3003868,2392700,155858,729000000000,8100000000,584266779,90000000
121630138,3145405,2500499,161905,857375000000,9025000000,624136283,95000000
135427363,3508433,3029689,167041,1000000000000,10000000000,664385619,100000000
