algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
0.0,2.0414516E7,0.0,0.0,1.0E9,1.0E8,3.321928E7,1.0E7
2.2454626E7,0.0,0.0,0.0,3.37500006E9,2.25E8,5.860336E7,1.5E7
0.0,0.0,0.0,0.0,8.0E9,4.0E8,8.643856E7,2.0E7
0.0,0.0,0.0,0.0,1.56249999E10,6.25E8,1.16096408E8,2.5E7
0.0,0.0,0.0,0.0,2.70000005E10,9.0E8,1.4720672E8,3.0E7
2.7313308E7,0.0,0.0,0.0,4.2874999E10,1.22499994E9,1.79524912E8,3.5E7
1.3462038E7,0.0,0.0,0.0,6.4E10,1.6E9,2.1287712E8,4.0E7
1.3334531E7,0.0,0.0,0.0,9.1124998E10,2.02499994E9,2.47133392E8,4.5E7
2.0038706E7,0.0,2.6232854E7,0.0,1.24999999E11,2.5E9,2.821928E8,5.0E7
4.066126E7,0.0,0.0,0.0,1.66374998E11,3.02499994E9,3.17974784E8,5.5E7
4.0379404E7,0.0,0.0,0.0,2.16000004E11,3.6E9,3.5441344E8,6.0E7
5.9975192E7,0.0,0.0,0.0,2.74625004E11,4.22499994E9,3.9145392E8,6.5E7
6.2800476E7,1.975685E7,0.0,0.0,3.4299999E11,4.8999997E9,4.29049824E8,7.0E7
5.904238E7,0.0,0.0,0.0,4.21874991E11,5.6249999E9,4.67161408E8,7.5E7
7.0739456E7,0.0,0.0,0.0,5.12E11,6.4E9,5.0575424E8,8.0E7
1.07494976E8,0.0,0.0,0.0,6.1412501E11,7.2249999E9,5.4479821E8,8.5E7
1.27614216E8,0.0,0.0,0.0,7.2899999E11,8.0999997E9,5.8426675E8,9.0E7
1.20540944E8,0.0,2.7997818E7,0.0,8.5737498E11,9.0250004E9,6.2413626E8,9.5E7
1.42774112E8,1.2864769E7,0.0,0.0,1.0E12,1.0E10,6.643856E8,1.0E8
